Question,Equation,Type
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?",/ + number0  number1  * + number2  number3  0.2778,Physics
a is twice as good a workman as b and they took number0 days together to do the work b alone can do it in ?,* / * number0  + 2  1  2  2,Physics
how long does a train number0 m long traveling at number1 kmph takes to cross a bridge of number2 m in length ?,/ + number0  number2  * number1  0.2778,Physics
"a factory has three types of machines , each of which works at its own constant rate . if number0 machine as and number1 machine bs can produce number2 widgets per hour , and if number3 machine as and number4 machine cs can produce number5 widgets per hour , how many widgets could one machine a , one machine b , and one machine c produce in one number3 - hour day ?",* / number5  number1  number3,Physics
a car started running at a speed of number0 km / hr and the speed of the car was increased by number1 km / hr at the end of every hour . find the total distance covered by the car in the first number2 hours of the journey .,/ + + number0  * number1  number2  number0  number1,Physics
"in a number0 m race , the ratio of the speeds of two contestants a and b is number1 : number2 . a has a start of number3 m . then , a wins by",- number0  / * - number0  number3  number2  number1,Physics
"pipe a can fill a tank in number0 hours . due to a leak at the bottom , it takes number1 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?",/ * number1  number0  - number1  number0,Physics
if the weight of number0 meters long rod is number0.number1 kg . what is the weight of number2 meters long rod ?,/ * number2  number0.number1  number0,Physics
"how many seconds will it take for a car that is traveling at a constant rate of number0 miles per hour to travel a distance of number1 yards ? ( number2 mile = number2,number3 yards )",/ number1  * / number0  3600  * - + number0  number0  4  10,Physics
‘ a ’ completes a work in number0 days . ‘ b ’ completes the same work in number1 days . ‘ a ’ started working alone and after number2 days b joined him . how many days will they now take together to complete the remaining work ?,* - 1  * / 1  number0  number2  / * number0  number1  ^ number2  3,Physics
"in a stream running at number0 kmph , a motor boat goes number1 km upstream and back again to the starting point in number2 minutes . find the speed of the motorboat in still water .",/ + number1  number1  / number2  60,Physics
"a cistern is filled by a tap in number0 number1 / number2 hours . due to leak in the bottom of the cistern , it takes half an hour longer to fill the cistern . if the cistern is full how many hours will it take the leak to empty it ?",/ number1  - / number1  + number0  / number1  number2  / number1  4,Physics
speed of a boat in standing water is number0 kmph and speed of the stream is number1 kmph . a man can rows to a place at a distance of number2 km and comes back to the starting point . the total time taken by him is ?,+ * + + number0  number1  - number0  number1  number2  * - + / number2  + number0  number1  / number2  - number0  number1  + + number0  number1  - number0  number1  60,Physics
"if in a race of number0 m , a covers the distance in number1 seconds and b in number2 seconds , then a beats b by :",* / - number2  number1  number2  number0,Physics
if number0 men or number1 women can reap a field in number2 days how long will number3 men and number4 women take to reap it ?,/ number2  + * number3  / number2  number0  * number4  / number2  number1,Physics
a is twice as good as workman as b and together they finish a piece of work in number0 days . in how many days will a alone finish the work ?,* number0  3,Physics
"a , band c can do a piece of work in number0 days , number1 days and number2 days respectively , working alone . how soon can the work be done if a is assisted by band c on alternate days ?",/ number2  / + + / number2  number0  / number2  number1  + / number2  number0  / number2  number2  2,Physics
"it is currently number0 : number1 pm . at what time in the morning was it exactly number2,number3 minutes earlier ?",/ number0  - number1  3,Physics
"a taxi leaves point a number0 hours after a bus left the same spot . the bus is traveling number1 mph slower than the taxi . find the speed of the taxi , if it overtakes the bus in two hours .",/ + * number0  number1  * number0  number1  - + 3.number2  number0  number0,Physics
a person crosses a number0 m long street in number1 minutes . what is his speed in km per hour ?,/ / number0  1000  / * number1  60  3600,Physics
the sector of a circle has radius of number0 cm and central angle number1 o . find its perimeter ?,* * 2  / * - number0  3  2  + 4  3  number0,Physics
"a train consists of number0 boggies , each boggy number1 metres long . the train crosses a telegraph post in number2 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in",/ - * number0  number1  number1  / * number0  number1  number2,Physics
"natasha climbs up a hill , and descends along the same way she went up . it takes her number0 hours to reach the top and number1 hours to come back down . if her average speed along the whole journey is number1 kilometers per hour , what was her average speed ( in kilometers per hour ) while climbing to the top ?",/ / * + number0  number1  number1  number1  number0,Physics
