Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
Wendy 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,8.0 39.0 33.0,/ + number1 number2 number0,9,"[7, 8, 9, 20, 21, 22, 23, 24, 25, 31, 32, 33]",Wendy 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters,how many loads would she have to do ?,,
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,33.0 18.0 14.0,#NAME?,29,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?,,
My car gets number0 miles per gallon of gas . How many miles can I drive on number1 gallons of gas ?,20.0 5.0,* number0 number1,100,"[2, 3, 4, 16, 17, 18, 18, 19, 20]",My car gets number0 miles per gallon of gas .,How many miles can I drive on number1 gallons of gas ?,,
You have collected number0 crickets . How many more crickets do you need to collect to have number1 crickets ?,7.0 11.0,#NAME?,4,"[2, 3, 4, 16, 17, 18, 16, 17, 18]",You have collected number0 crickets .,How many more crickets do you need to collect to have number1 crickets ?,,
Lukas averages number0 points per game in basketball . How many points would he score in number1 games ?,12.0 5.0,* number0 number1,60,"[1, 2, 3, 15, 16, 17, 15, 16, 17]",Lukas averages number0 points per game in basketball .,How many points would he score in number1 games ?,,
A restaurant sold number0 pies every day for a week . How many pies were sold during the week ?,8,* number0 7.0,56,"[2, 3, 4, 16, 17, 18]",A restaurant sold number0 pies every day for a week .,How many pies were sold during the week ?,,
Kyle jogged number0 laps in P.E . class and number1 laps during track practice . How many laps did Kyle jog in all ?,1.125 2.125,#NAME?,3.25,"[1, 2, 3, 7, 8, 9, 19, 20, 21]",Kyle jogged number0 laps in P.E . class and number1 laps during track practice .,How many laps did Kyle jog in all ?,,
"Sara grew number0 onions , Sally grew number1 onions , and Fred grew number2 onions . How many onions did they grow in all ?",4.0 5.0 9.0,#NAME?,18,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 21, 22, 23]","Sara grew number0 onions , Sally grew number1 onions , and Fred grew number2 onions .",How many onions did they grow in all ?,,
"While shopping for music online , Faye bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Faye buy total ?",2.0 3.0 6.0,* number2 + number0 number1,30,"[7, 8, 9, 11, 12, 13, 24, 25, 26, 32, 33, 34]","While shopping for music online , Faye bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs .",How many songs did Faye buy total ?,,
"Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked number0 mile from the car to a stream , and number1 mile from the stream to a meadow . Then they hiked number2 mile from the meadow to the campsite . How many miles did Irwin 's family hike in all ?",0.2 0.4 0.1,#NAME?,0.7,"[29, 30, 31, 39, 40, 41, 51, 52, 53, 68, 69, 70]","Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked number0 mile from the car to a stream , and number1 mile from the stream to a meadow . Then they hiked number2 mile from the meadow to the campsite .",How many miles did Irwin 's family hike in all ?,,
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",7.0 11.0 8.0,* number0 - number1 number2,21,"[9, 10, 11, 16, 17, 18, 24, 25, 26, 32, 33, 34]","In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them ,",how many points would you earn ?,,
Jonah added number0 cup of yellow raisins and number1 cup of black raisins to a batch of trail mix . How many cups of raisins did Jonah add in all ?,0.3 0.4,#NAME?,0.7,"[1, 2, 3, 7, 8, 9, 27, 28, 29]",Jonah added number0 cup of yellow raisins and number1 cup of black raisins to a batch of trail mix .,How many cups of raisins did Jonah add in all ?,,
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes . How many ounces of soap will Mrs. Hilt use to wash number1 pounds of clothes ?,2.0 9.0,* number0 number1,18,"[2, 3, 4, 24, 25, 26, 26, 27, 28]",Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,How many ounces of soap will Mrs. Hilt use to wash number1 pounds of clothes ?,,
"April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies , how much did she spend ?",3.0 5.0 4.0,* number0 + number1 number2,27,"[11, 12, 13, 17, 18, 19, 20, 21, 22, 26, 27, 28]","April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies ,",how much did she spend ?,,
Brenda wants to split a collection of erasers into groups of number0 . Brenda has number1 erasers . How many groups will be created ?,90.0 270.0,/ number1 number0,3,"[10, 11, 12, 14, 15, 16, 21, 22, 23]",Brenda wants to split a collection of erasers into groups of number0 . Brenda has number1 erasers .,How many groups will be created ?,,
Alyssa 's dog had puppies . She gave number0 to her friends . She now has number1 puppies . How many puppies did she have to start with ?,7.0 5.0,#NAME?,12,"[7, 8, 9, 15, 16, 17, 25, 26, 27]",Alyssa 's dog had puppies . She gave number0 to her friends . She now has number1 puppies .,How many puppies did she have to start with ?,,
A car company produced number0 cars in North America and number1 cars in Europe . How many cars is that in all ?,3884.0 2871.0,#NAME?,6755,"[3, 4, 5, 9, 10, 11, 19, 20, 21]",A car company produced number0 cars in North America and number1 cars in Europe .,How many cars is that in all ?,,
"Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns . How much money does Sam have ?",9.0 7.0,+ * number0 0.01 * number1 0.25,1.84,"[1, 2, 3, 8, 9, 10, 18, 19, 20]","Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns .",How much money does Sam have ?,,
Tim has number0 books . Sam has number1 books . How many books do they have together ?,44.0 52.0,#NAME?,96,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Tim has number0 books . Sam has number1 books .,How many books do they have together ?,,
"The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages , how many pages do all the books have in total ?",8.0 478.0,* number0 number1,3824,"[17, 18, 19, 24, 25, 26, 35, 36, 37]","The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages ,",how many pages do all the books have in total ?,,
Warren has number0 guests coming to his party . Each table will hold number1 guests . How many tables will he need ?,252.0 4.0,/ number0 number1,63,"[1, 2, 3, 12, 13, 14, 19, 20, 21]",Warren has number0 guests coming to his party . Each table will hold number1 guests .,How many tables will he need ?,,
Jason had number0 quarters in his bank . His dad gave him number1 quarters . How many quarters does he have now ?,49.0 25.0,#NAME?,74,"[1, 2, 3, 11, 12, 13, 19, 20, 21]",Jason had number0 quarters in his bank . His dad gave him number1 quarters .,How many quarters does he have now ?,,
There are number0 marbles . number1 marbles more are added . How many are there total ?,4.0 7.0,#NAME?,11,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 marbles . number1 marbles more are added .,How many are there total ?,,
"Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",15.0 43.0 29.0,#NAME?,58,"[1, 2, 3, 6, 7, 8, 20, 21, 22, 29, 30, 31]","Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked .",How many seashells did they find together ?,,
Jessica weighs number0 pounds . Thomas weighs number1 pounds . How much heavier is Jessica than Thomas ?,49.0 44.0,#NAME?,5,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Jessica weighs number0 pounds . Thomas weighs number1 pounds .,How much heavier is Jessica than Thomas ?,,
Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles . How many packs of groceries did she buy in all ?,12.0 16.0,#NAME?,28,"[8, 9, 10, 13, 14, 15, 28, 29, 30]",Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles .,How many packs of groceries did she buy in all ?,,
Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald . How many times did they jump altogether ?,157.0 86.0,#NAME?,243,"[20, 21, 22, 30, 31, 32, 43, 44, 45]",Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald .,How many times did they jump altogether ?,,
"At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Kaleb spend riding the ferris wheel ?",6.0 3.0 9.0,* number2 - number0 number1,27,"[4, 5, 6, 14, 15, 16, 22, 23, 24, 33, 34, 35]","At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars ,",how much money did Kaleb spend riding the ferris wheel ?,,
Gino has number0 popsicle sticks . I have number1 popsicle sticks . What is the sum of our popsicle sticks ?,63.0 50.0,#NAME?,113,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Gino has number0 popsicle sticks . I have number1 popsicle sticks .,What is the sum of our popsicle sticks ?,,
"Albert has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",35.0 7.0,/ number0 number1,5,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Albert has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?,,
"There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups , how big is each group ?",30.0 10.0,/ number0 number1,3,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups ,",how big is each group ?,,
There were number0 book shelves . Each book shelf had number1 books . How many books were on the shelves ?,150.0 15.0,* number0 number1,2250,"[1, 2, 3, 9, 10, 11, 17, 18, 19]",There were number0 book shelves . Each book shelf had number1 books .,How many books were on the shelves ?,,
"Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",48.0 11.0 21.0,#NAME?,58,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]","Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?,,
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,120.0 39.0 9.0,/ - number0 number1 number2,9,"[2, 3, 4, 19, 20, 21, 33, 34, 35, 42, 43, 44]",A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf .,How many shelves did they use ?,,
"Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance , how much money does he have now ?",11.0 3.0 14.0,#NAME?,22,"[1, 2, 3, 10, 11, 12, 20, 21, 22, 31, 32, 33]","Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance ,",how much money does he have now ?,,
