Problem,annotated_formula
"at a loading dock , each worker on the night crew loaded number0 / number1 as many boxes as each worker on the day crew . if the night crew has number0 / number1 as many workers as the day crew , what fraction of all the boxes loaded by the two crews did the day crew load ?","/(*(number1, number1), +(*(number1, number1), *(number0, number0)))"
how many seconds will a number0 m long train take to cross a man walking with a speed of number1 km / hr in the direction of the moving train if the speed of the train is number2 km / hr ?,"/(number0, *(-(number2, number1), 0.2778))"
"a train passes a platform in number0 seconds . the same train passes a man standing on the platform in number1 seconds . if the speed of the train is number2 km / hr , the length of the platform is","*(*(0.2778, number2), -(number0, number1))"
"number0 identical machines , working alone and at their constant rates , take number1 hours to complete a job lot . how long would it take for number2 such machines to perform the same job ?","/(*(number1, number0), number2)"
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?","/(+(number0, number1), 2)"
walking at number0 % of his usual speed a man takes number1 minutes more to cover a distance . what is his usual time to cover this distance ?,"/(number1, -(/(1, /(number0, 100)), 1))"
the speed of a train is number0 kmph . what is the distance covered by it in number1 minutes ?,"*(/(number1, 60), number0)"
"a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr , find the time taken by the boat to go number2 km downstream .","/(number2, +(number0, number1))"
"there is enough provisions for number0 women in an army camp for number1 days . if there were number2 men less , how long will the provision last ?","/(*(number0, number1), number2)"
"shannon and maxine work in the same building and leave work at the same time . shannon lives due north of work and maxine lives due south . the distance between maxine ' s house and shannon ' s house is number0 miles . if they both drive home at the rate number1 r miles per hour , maxine arrives home number0 minutes after shannon . if maxine rider her bike home at the rate of r per hour and shannon still drives at a rate of number1 r miles per hour , shannon arrives home number1 hours before maxine . how far does maxine live from work ?","/(-(*(3, number0), number0), 3)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . what is the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
walking at number0 / number1 th of its usual speed a cab is number2 mnts late . find its usual time to cover the journey ?,"*(number0, number2)"
"a certain machine produces number0 units of product p per hour . working continuously at this constant rate , this machine will produce how many units of product p in number1 days ?","*(4, 10)"
two numbers n and number0 have lcm = number1 and gcf = number2 . find n .,"/(*(number1, number2), number0)"
convert number0 inches into centimeter ?,"/(*(*(*(+(3, 2), 2), *(+(3, 2), 2)), number0), *(*(+(3, 2), 2), *(+(3, 2), 2)))"
"if an object travels at seven feet per second , how many feet does it travel in one hour ?","*(*(3, 60), 60)"
"in what time will a train number0 meters long cross an electric pole , if its speed is number1 km / hr","/(number0, *(number1, 0.2778))"
"p is number0 % more efficient than q . p can complete a work in number1 days . if p and q work together , how much time will it take to complete the same work ?","/(*(+(/(number0, 100), 1), number1), +(+(/(number0, 100), 1), 1))"
"the speed at which a man can row a boat in still water is number0 kmph . if he rows downstream , where the speed of current is number1 kmph , what time will he take to cover number2 metres ?","/(number2, *(+(number0, number1), 0.2778))"
"the ratio of the first and second class fares between two stations is number0 : number1 and that of the number of passengers travelling between the two stations by the first and the second class is number1 : number2 . if in a day , rs . number1 , number3 are collected from the passengers travelling between the two stations , then the amount collected from the second class from the second class passengers is","*(number1, number1)"
the reciprocal of the hcf and lcm of two are number0 / number1 and number0 / number2 . if one of the number is number3 then other no . is,"/(*(number1, number2), number3)"
a can do a piece of work number0 days . b can do work in number1 days . in how many days they will complete the work together ?,"/(1, +(/(1, number0), /(1, number1)))"
the sector of a circle has radius of number0 cm and central angle number1 o . find its perimeter ?,"*(*(2, /(*(-(number0, 3), 2), +(4, 3))), number0)"
a hare and a tortoise have a race along a circle of number0 yards diameter . the tortoise goes in one direction and the hare in the other . the hare starts after the tortoise has covered number1 / number2 of its distance and that too leisurely . the hare and tortoise meet when the hare has covered only number1 / number3 of the distance . by what factor should the hare increase its speed so as to tie the race ?,"*(-(number3, number1), /(-(-(number0, /(number0, number2)), /(number0, number3)), /(number0, number3)))"
"if a train , travelling at a speed of number0 kmph , crosses a pole in number1 sec , then the length of train is ?","*(*(number0, 0.2778), number1)"
"the consumption of diesel per hour of a bus varies directly as square of its speed . when the bus is travelling at number0 kmph its consumption is number1 litre per hour . if each litre costs $ number2 and other expenses per hous is $ number3 , then what would be the minimum expenditure required to cover a distance of number4 km ?","+(*(/(number4, number0), number2), *(/(number4, number0), number3))"
"a can do a work in number0 days , b can do it in number1 days . they together under took to do a piece of work for rs . number2 , what is the share of b ?","*(number0, number1)"
"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is number0 kilometers , maxwell ' s walking speed is number1 km / h , and brad ' s running speed is number2 km / h , what is the distance traveled by brad ?","*(number1, /(number0, +(number1, number2)))"
